一,いち,いぬ,いと,いみ
右,みぎ,ひだり,うしろ,した
雨,あめ,ゆき,かぜ,くも
円,えん,まり,せん,いち
王,おう,おん,こう,しょう
音,おと,ねこ,こと,ふえ
下,した,うえ,なか,みぎ
火,ひ,みず,かぜ,つち
花,はな,き,み,みどり
貝,かい,いぬ,さかな,ま
学,がく,こう,せい,しゅう
気,き,く,こ,きゅう
九,きゅう,はち,じゅう,に
休み,やすみ,はしり,おきみ,たちみ
玉,たま,つち,みどり,ひかり
金,きん,かね,じん,ぎん
空,そら,くも,うみ,やま
月,つき,ひ,ほし,そら
犬,いぬ,ねこ,うま,とり
見る,みる,きる,はなる,ある
五,ご,さん,し,ろく
口,くち,め,みみ,て
校,こう,えん,がく,せい
左,ひだり,みぎ,した,うえ
三,さん,に,ご,よん
山,やま,かわ,そら,はな
子,こ,ね,と,おと
四,よん,さん,ご,しち
糸,いと,はな,つき,かみ
字,じ,ふみ,も,しょ
耳,みみ,め,くち,はな
七,なな,いち,ご,はち
車,くるま,でんしゃ,みち,みず
手,て,あし,みみ,め
十,じゅう,ご,なな,はち
出る,でる,はいる,ある,たる
女,おんな,おとこ,むすこ,ひと
小さい,ちいさい,おおさい,なさい,ふとさい
上,うえ,した,みぎ,ひだり
森,もり,はやし,やま,かわ
人,ひと,いぬ,ねこ,かみ
水,みず,ひ,かぜ,つち
正しい,ただしい,よしい,あたらしい,はやい
生きる,いきる,しきる,たべる,なきる
青,あお,あか,しろ,くろ
夕,ゆう,あさ,ひる,よる
石,いし,き,はな,つち
赤,あか,あお,しろ,くろ
千,せん,ひゃく,まん,じゅう
川,かわ,やま,そら,うみ
先,さき,あと,まえ,うしろ
早い,はやい,おそい,ながい,ふかい
草,くさ,き,はな,みどり
足,あし,て,みみ,め
村,むら,まち,いえ,くに
大きい,おおきい,ちいさい,たきい,なきい
男,おとこ,おんな,ひと,こども
竹,たけ,き,いと,くさ
中,なか,うえ,した,そと
虫,むし,いぬ,さかな,とり
町,まち,むら,いえ,みち
天,てん,くう,かみ,くも
田,た,かわ,やま,うみ
土,つち,みず,ひ,かぜ
二,に,さん,よん,ご
日,ひ,つき,ほし,やま
入る,はいる,でる,たる,ある
年,とし,つき,ひ,き
白,しろ,あか,あお,くろ
八,はち,きゅう,じゅう,ご
百,ひゃく,せん,まん,じゅう
文,ぶん,もじ,しょ,かみ
木,き,くさ,たけ,はな
本,ほん,き,しょ,かみ
名,な,ひと,こ,こと
目,め,みみ,くち,はな
立つ,たつ,くつ,あるく,はしつ
力,ちから,みず,ひ,かぜ
林,はやし,もり,き,くさ
六,ろく,ご,なな,はち
