ア,あ,ま,の,は
イ,い,そ,つ,と
ウ,う,わ,く,ふ
エ,え,こ,ゆ,に
オ,お,き,な,ね
カ,か,く,わ,さ
キ,き,て,ち,ま
ク,く,わ,こ,う
ケ,け,く,て,な
コ,こ,ふ,え,ゆ
サ,さ,せ,て,ね
シ,し,つ,ん,そ
ス,す,ぬ,ふ,え
セ,せ,ひ,む,や
ソ,そ,ん,つ,し
タ,た,ま,な,く
チ,ち,さ,き,て
ツ,つ,し,ん,そ
テ,て,ち,つ,く
ト,と,の,を,お
ナ,な,め,て,は
ニ,に,ん,は,た
ヌ,ぬ,す,ま,ね
ネ,ね,ぬ,す,わ
ノ,の,め,は,な
ハ,は,ほ,ま,の
ヒ,ひ,せ,つ,こ
フ,ふ,わ,く,へ
ヘ,へ,え,の,ふ
ホ,ほ,き,そ,ま
マ,ま,あ,こ,き
ミ,み,し,さ,つ
ム,む,く,ま,も
メ,め,な,の,は
モ,も,ま,ち,て
ヤ,や,か,ま,せ
ユ,ゆ,こ,よ,せ
ヨ,よ,い,こ,を
ラ,ら,よ,れ,を
リ,り,い,こ,に
ル,る,り,に,い
レ,れ,し,の,と
ロ,ろ,こ,ゆ,に
ワ,わ,く,う,を
ヲ,を,わ,く,ら
ン,ん,そ,つ,し
