[上の人が]いる,いらっしゃる,おる
[上の人が]いく,いらっしゃる,まいる
[上の人が]くる,いらっしゃる,まいる
[上の人が]みる,ごらんになる,はいけんする
[上の人が]いう,おっしゃる,もうす
[上の人が]する,なさる,いたす
[上の人が]たべる,めしあがる,いただく
[上の人が]のむ,めしあがる,いただく
[上の人が]くれる,くださる,おくれる
[上の人が]もらう,おうけとりになる,いただく
[上の人が]〜ている,〜ていらっしゃる,〜ておる
[上の人が]しる,ごぞんじ,ぞんじあげる
[上の人が]ねる,おやすみになる,ねれる
[上の人が]わかる,おわかりになる,かしこまる
[上の人が]れんらくする,ごれんらくなさる,ごれんらくいたす
[上の人が]きく,おききになる,はいちょうする
[上の人が]よむ,およみになる,はいどくする
[上の人が]かく,おかきになる,おかきする
[上の人が]かう,かわれる,かわせていただく
[上の人が]とる,とられる,おとりする
[上の人が]あう,あわれる,おめにかかる
[上の人が]きる,おめしになる,きれる
[上の人が]おくる,おくられる,おおくりする
[上の人が]かす,かされる,おかしする
[上の人が]かりる,かりられる,はいしゃくする
[上の人が]おしえる,おしえられる,ごしどういただく
[上の人が]あける,おあけになる,おあけする
[上の人が]しめる,おしめになる,おしめする
[上の人が]いそぐ,おいそぎになる,おいそぎする
[私が]いる,おる,いらっしゃる
[私が]いく,まいる,いらっしゃる
[私が]くる,まいる,いらっしゃる
[私が]みる,はいけんする,ごらんになる
[私が]いう,もうす,おっしゃる
[私が]する,いたす,なさる
[私が]たべる,いただく,めしあがる
[私が]のむ,いただく,めしあがる
[私が]もらう,いただく,おうけとりになる
[私が]〜ている,〜ておる,〜ていらっしゃる
[私が]しる,ぞんじあげる,ごぞんじ
[私が]わかる,かしこまる,おわかりになる
[私が]れんらくする,ごれんらくいたす,ごれんらくなさる
[私が]きく,はいちょうする,おききになる
[私が]よむ,はいどくする,およみになる
[私が]かく,おかきする,おかきになる
[私が]とる,おとりする,とられる
[私が]あう,おめにかかる,あわれる
[私が]おくる,おおくりする,おくられる
[私が]あげる,さしあげる,いただく
[私が]かす,おかしする,かされる
[私が]かりる,はいしゃくする,かりられる
[私が]おしえる,おおしえする,おしえられる
[私が]ならう,ごしどういただく,ならわれる
[私が]あける,おあけする,おあけになる
[私が]まつ,おまちする,おまちになる
[私が]もつ,おもちする,おもちになる
[私が]はなす,おはなしする,おはなしになる
[私が]みせる,おめにかける,おみせになる
